offset	tamanho_bytes	encoding	texto	texto_traduzido	tamanho_bytes_traduzido
0x3667c58	46	latin-1	More than enough to kill|anything that moves.	Mais que suficiente p/ matar|qualquer coisa.	57
0x3667c98	38	latin-1	Now I'll show you why they|call me...	Agora vou te mostrar pq eles|me chamam..	45
0x3667cd0	10	shift_jis	Revolver	Revolver	10
0x3667cec	5	shift_jis	Draw!	Saque!	6
0x3b29120	19	shift_jis	You're pretty good.	Vc e muito bom.	17
0x3b29144	66	latin-1	Just what I'd expect from the man with|the same code as the boss.	Exatamente o que eu esperaria do homem com|o mesmo codigo do chefe.	70
0x3b29198	55	latin-1	It's been a long time since I had|such a good fight...	Faz tempo que nao tenho|uma luta tao boa..	45
0x3b291e0	31	shift_jis	but I'm just getting warmed up.	mas estou apenas me aquecendo.	31
0x3b29210	5	shift_jis	What!	O que!	6
0x3b29228	10	shift_jis	My hand!!!	Minha mao!!!	12
0x3b29244	11	shift_jis	Aaaaaahhh!!	Aaaaaahhh!!	11
0x3b29260	18	shift_jis	Uuuunnhh! Ooooof!!	Uuuunnhh! Ooooof!!	18
0x3b29284	19	shift_jis	Stealth camouflage!	Camuflagem stealth!	18
0x3b292a8	26	shift_jis	Can't you even die right!?	Vc nao consegue nem morrer!?	34
0x3b292d4	33	shift_jis	You were lucky. We'll meet again!	Sortudo.. Nos encontraremos de novo!	44
0x3b29308	12	shift_jis	Who are you!	Quem e vc!	13
0x3b29328	30	shift_jis	I'm like you...I have no name.	Sou como vc..nao tenho nome.	32
0x3b29358	13	shift_jis	Ohhh...ohhhh!	Ohhh..ohhhh!	13
0x3b29378	27	shift_jis	That...that exoskeleton...!	Esse..esse exoesqueleto..!	26
0x3b293a4	20	shift_jis	Ggggyyyaaaaaaahhh!!!	Ggggyyyaaaaaaahhh!!!	20
0x3b293cc	22	shift_jis	Ggggyyyyaaaaaaaahhh!!!	Ggggyyyyaaaaaaaahhh!!!	22
0x3b293f4	28	shift_jis	Gggggyyyyyaaaaaaaaaaahhhh!!!	Gggggyyyyyaaaaaaaaaaahhhh!!!	28
0x3b29424	16	shift_jis	Who the hell...?	Quem diabos..?	14
0x3ef6920	17	shift_jis	I'm disappointed.	Estou decepcionado.	18
0x3ef6944	29	shift_jis	You're no match for the boss.	Vc nao e pareo p/ o chefe.	29
0x3ef6974	53	latin-1	Playtime's over, friend.|You're not cut out for war.	A brincadeira acabou, amigo.|Vc nao foi feito p/ guerra.	58
0x3ef69bc	36	latin-1	Don't worry.|I'll kill you quickly.	Nao se preocupe|Vou te matar rapidamente	42
0x3ef6a0c	13	shift_jis	Aaaaaaahhh!!!	Aaaaaaahhh!!!	13
0x42c08a8	13	shift_jis	Can you talk?	Consegue falar?	14
0x42c08c8	12	shift_jis	Who are you?	Quem e vc?	12
0x42c08e8	20	shift_jis	I'm not one of them.	Nao sou um deles.	16
0x42c0910	58	latin-1	The DARPA Chief told me|he gave them his detonation code.	O Chefe da DARPA disse|que deu o codigo de detonacao p/ eles	66
0x42c095c	17	shift_jis	What about yours?	E o seu?	8
0x42c0980	29	shift_jis	Oh, I get it. Jim sent you...	Ah, entendi. Jim te enviou..	28
0x42c09b0	31	shift_jis	You...you're from the Pentagon.	Vc..vc e do Pentagono.	27
0x42c09e0	19	shift_jis	Answer my question!	Me Responda!	23
0x42c0a04	40	latin-1	What about your code!?|There's no time!	E o seu codigo!?|Nao ha tempo!	32
0x42c0a58	10	shift_jis	...talked.	..falei.	8
0x42c0a8c	59	latin-1	Now the terrorists have both codes|and can launch anytime!	Agora os terroristas tem os codigos|e tao prontos p/ agir!	79
0x42c0ad8	29	shift_jis	It's not like I didn't fight.	Nao eh como se eu nao lutasse	29
0x42c0b08	47	latin-1	I managed to resist Psycho Mantis'|mind probe.	Consegui resistir ao|Psycho Mantis.	49
0x42c0b48	39	latin-1	He couldn't read you?|How'd you do it?	Ele n conseguiu ler?|Como vc resistiu?	53
0x42c0b80	30	shift_jis	Surgical implants in my brain.	Implantes no meu cerebro.	36
0x42c0bb0	18	shift_jis	Surgical implants?	Implante cirurgico?	20
0x42c0bd4	34	shift_jis	Kind of like a psychic insulation.	Tipo um isolamento psiquico.	28
0x42c0c08	50	latin-1	Everyone who knows these|top-secret codes has it.	Todo mundo que conhece os|codigos secretos tem isso.	63
0x42c0c4c	21	shift_jis	Even the DARPA Chief?	Ate o Chefe da DARPA?	20
0x42c0c74	10	shift_jis	Of course.	Claro.	6
0x42c0c90	66	latin-1	But the DARPA Chief said Mantis got|his code by reading his mind.	O Chefe da DARPA disse que Mantis pegou|o codigo lendo a mente dele	75
0x42c0ce4	34	latin-1	Are you sure you heard him|right?	Tem certeza que ouviu|direito?	28
0x42c0d18	17	shift_jis	Yeah, I'm sure...	Sim, tenho certeza..	20
0x42c0d3c	42	latin-1	In that case, how did they get|your code?	Nesse caso como eles conseguiram|seu codigo?	44
0x42c0d78	53	latin-1	I never had any training on|how to resist torture...	Nunca tive treinamento sobre|como resistir a tortura..	53
0x42c0dc0	50	latin-1	It looks like he had some fun|with you all right.	Parece que ele se divertiu|muito com vc.	44
0x42c0e04	15	shift_jis	He's not human.	Ele n eh humano	16
0x42c0e24	42	latin-1	I tell you he loved every|second of it...	Te digo que ele amou|cada segundo disso..	42
0x42c0e60	26	shift_jis	What happened to your arm.	Oq aconteceu com seu braco.	31
0x42c0e8c	12	shift_jis	He broke it.	Ele o quebrou.	13
0x42c0eac	58	latin-1	Looks like you're more than even|now. His was sliced off.	Parece que vcs estao quites|agora. O dele foi cortado.	56
0x42c0ef8	24	latin-1	Ha.|You're a funny man.	Ha.|Vc e engracado.	19
0x42c0f24	39	latin-1	...So...the DARPA Chief...|is he okay?	..Entao..o Chefe da DARPA|ele esta bem?	44
0x42c0f5c	5	shift_jis	Dead.	Morto.	6
0x42c0f74	6	shift_jis	What!?	O que!?	8
0x42c0f8c	12	shift_jis	It can't be!	Nao pode ser!	13
0x42c0fac	45	latin-1	You know, that's not what you|promised, Jim!	Sabe, isso nao eh o que vc|prometeu, Jim!	45
0x42c0fec	27	shift_jis	Now you want to shut me up!	Agora quer me calar!	20
0x42c1018	10	shift_jis	Calm down!	Se acalme!	11
0x42c1034	23	shift_jis	What's wrong with you?	Qual o seu problema?	29
0x42c105c	40	latin-1	I just told you|I was here to save you!	Acabei de te dizer|que vim aqui p/ te salvar!	47
0x42c1098	30	shift_jis	I didn't kill the DARPA Chief.	Nao matei o Chefe da DARPA.	27
0x4713698	38	latin-1	He had a heart attack or|something...	Ele teve ataque cardiaco ou|algo assim..	46
0x47136d0	40	latin-1	A heart attack?|Oh,  don't be a fool...	Um ataque cardiaco?|Ah, nao seja idiota..	44
0x471370c	44	latin-1	Anyway, the terrorists have|both codes now.	Enfim, os terroristas tem|ambos os codigos agora	66
0x471374c	30	shift_jis	Those boys are totally insane.	Aqueles caras sao loucos.	35
0x471377c	35	shift_jis	They wouldn't hesitate to launch...	Eles nao hesitariam em lancar..	33
0x47137b0	39	latin-1	I agree.|But what do they really want?	Concordo.|Mas oq eles realmente querem?	42
0x47137e8	10	shift_jis	Who knows.	Quem sabe.	10
0x4713804	46	latin-1	Maybe they're like us in the arms|industry...	Talvez sejam como nos na industria|de armamentos	52
0x4713844	47	latin-1	Always looking forward to|the next good war...	Sempre esperando|a proxima boa guerra..	38
0x4713884	59	latin-1	Well I'm not going to let these maniacs|start a war today.	Bem, nao vou deixar esses maniacos|comecarem uma guerra hoje	66
0x47138d0	32	shift_jis	Do you still have the card keys?	Vc ainda tem os cartoes chave?	33
0x4713920	57	latin-1	To override the detonation code!|I heard you had them...	P/ anular o codigo de detonacao!|Ouvi dizer que vc os tinha	64
0x471396c	18	shift_jis	No, not anymore...	Nao, nao mais..	15
0x4713990	44	latin-1	What!? Who does then!?|Not the terrorists!?	O que!? Quem tem entao!?|Nao os terroristas!?	46
0x47139d0	15	shift_jis	No. That woman.	N. Aquela mulher	18
0x47139f0	12	shift_jis	Woman!? Who?	Mulher!? Quem?	14
0x4713a10	51	latin-1	A soldier that was thrown in prison|along with me.	Uma soldado que foi jogada na prisao|junto comigo.	50
0x4713a54	31	shift_jis	A female soldier? It must be...	Uma soldado? Deve ser..	24
0x4713a84	55	latin-1	She said that she had just joined up|as a new recruit.	Ela disse que tinha acabado de se alistar|como recruta.	67
0x4713acc	27	shift_jis	They threw her in prison...	A jogaram na prisao..	22
0x4713af8	50	latin-1	'cause she refused to take part|in the rebellion.	pq se recusou a participar|da rebeliao.	44
0x4713b3c	51	latin-1	A new recruit?|Could that be the Colonel's niece!?	Uma nova recruta?|Pode ser a sobrinha do Coronel!?	50
0x4713b80	19	shift_jis	I gave her the key.	Dei a chave p/ ela.	18
0x4713ba4	52	latin-1	Looks like she managed to|break out of here though.	Parece que ela conseguiu|escapar daqui.	40
0x4713bec	18	shift_jis	I hope she's okay.	Que ela esteja bem..	26
0x4713c10	16	shift_jis	I'm sure she is.	Com certeza esta.	21
0x4713c34	42	latin-1	She's green|...but as tough as they come.	Ela eh inexperiente|..mas dura na queda.	40
0x4713c70	34	latin-1	But how did you know she|escaped?	Mas como vc soube que ela|escapou?	37
0x4713ca4	36	latin-1	I was in contact with her|by Codec.	Estava em contato com ela|por Codec.	35
0x4713cdc	33	shift_jis	Until I was tied up here that is.	Ate ser amarrado aqui.	21
0x4713d10	6	shift_jis	Codec?	Codec?	6
0x4713d28	34	latin-1	Yes.|She stole it from the guard.	Sim.|Ela roubou do guarda.	25
0x4713d5c	56	latin-1	If she still has it, you should|be able to contact her.	Se ela ainda o tem, vc deveria|conseguir contata-la.	54
0x4713da8	54	latin-1	I'm sure she still has it.|What frequency was she at?	Com certeza ela ainda tem|Qual era a frequencia dela?	66
0x4713df0	34	latin-1	Oh yeah.|Let me tell you. It's...	Ah sim.|Deixe-me te contar. E..	33
0x4713e24	4	shift_jis	Huh?	Hein?	5
0x4713e3c	17	shift_jis	...Oh...Sorry....	..Ah..Desculpe...	18
0x4713e60	12	shift_jis	...I forgot.	..Esqueci.	10
0x4713e80	5	shift_jis	Damn!	Droga!	6
0x4713e98	59	latin-1	Oh that's right! |It should be on the back of the CD case.	Ah eh mesmo!|Deve estar atras da caixa do CD.	48
0x4b67bc0	19	shift_jis	Try to contact her.	Tente contata-la.	17
0x4b67be4	28	shift_jis	I'll contact her right away.	Vou contata-la imediatamente.	28
0x4b67c14	36	shift_jis	But tell me...if this doesn't work,	Mas me diga..se isso nao funcionar,	37
0x4b67c4c	55	latin-1	is there some other way to|prevent the missile launch?	ha alguma outra forma de|evitar o lancamento do missil?	59
0x4bbd0a8	5	shift_jis	Hmmm.	Hmmm.	5
0x4bbd0c0	52	latin-1	You need to find Hal Emmerich,|one of my employees.	Vc precisa encontrar Hal Emmerich,|meu funcionario	60
0x4bbd108	11	shift_jis	Who's that?	Quem eh?	12
0x4bbd124	47	latin-1	The team leader of the Metal Gear|Rex project.	O lider da equipe do projeto|Metal Gear Rex.	46
0x4bbd164	57	latin-1	A genius at engineering,|but a little bit of an oddball.	Um genio em engenharia,|mas meio estranho.	42
0x4bbd1b0	76	latin-1	If there's anyone who can figure out how|to stop Metal Gear from launching,	Se ha alguem que pode descobrir como|impedir o Metal Gear de lancar,	70
0x4bbd210	9	shift_jis	it's him.	eh ele	6
0x4bbd22c	39	shift_jis	What if he can't come up with anything?	E se ele nao conseguir pensar em nada?	38
0x4bbd264	26	shift_jis	You'll have to destroy it.	Vc tera que destrui-lo.	24
0x4bbd290	42	latin-1	Emmerich knows how to destroy|Metal Gear.	Emmerich sabe como destruir|o Metal Gear.	38
0x4bbd2cc	23	shift_jis	Where is this Emmerich?	Onde esta esse Emmerich?	23
0x4bbd2f4	53	latin-1	Well... he's probably being held|somewhere in the...	Ele provavelmente esta sendo mantido|em algum lugar no..	64
0x4bbd33c	33	shift_jis	Nuclear Warhead Storage Building.	Predio de Armazenamento de Ogivas.	44
0x4bbd370	46	latin-1	It's north from here.|That's where he worked.	Eh ao norte daqui.|Eh onde ele trabalhava.	39
0x4bbd3b0	35	shift_jis	I understand, but...why Metal Gear?	Entendo, mas..pq Metal Gear?	28
0x4bbd3e4	54	latin-1	The Nuclear Age ended with|the turn of the millenium.	A Era Nuclear terminou com|a virada do milenio.	47
0x4bbd42c	54	latin-1	You're wrong.|The threat of nuclear war isn't gone...	Vc esta errado.|A ameaca de guerra nuclear nao se foi..	59
0x4bbd474	45	latin-1	...in fact it's greater than|it's ever been.	..na verdade eh maior do que|ja foi	36
0x4db90cc	63	latin-1	there's plenty of available nuclear|material and scientists...	ha muito material nuclear disponivel|e cientistas..	52
0x4db911c	18	shift_jis	for making a bomb.	p/ fazer uma bomba.	19
0x4db9140	44	latin-1	We live in an age when any small|country...	Vivemos numa era onde qualquer pais|pequeno..	46
0x4db9180	35	shift_jis	can have a nuclear weapons program.	pode ter um programa nuclear.	41
0x4db91b4	33	shift_jis	What about the other superpowers?	E as outras superpotencias?	26
0x4db91e8	64	latin-1	Russia and China still maintain|a significant nuclear presence.	Russia e China ainda mantem|uma presenca nuclear significativa.	65
0x4db923c	52	latin-1	Complete nuclear disarmament|is an impossibility...	Desarme nuclear completo|e uma impossibilidade..	47
0x4db9284	42	latin-1	To maintain our own policy of|deterrence,	P/ manter nossa propria politica de|dissuasao,	49
0x4db92c0	40	latin-1	we need a weapon of|overwhelming power.	precisamos de uma arma de|poder avassalador.	44
0x4edb880	20	shift_jis	You mean Metal Gear.	Vc quer dizer Metal Gear	27
0x4edb8c0	48	latin-1	You know, our industry suffered|quite a blow...	Sabe, nossa industria sofreu|um grande golpe..	47
0x4edb904	47	latin-1	as a result of the cuts in|military budgets...	como resultado de cortes no|orcamento militar..	54
0x4edb944	30	shift_jis	"due to this so-called ""peace""."	"devido a essa chamada ""paz""."	27
0x4edb974	53	latin-1	I remember hearing a lot about|mergers and takeovers	Lembro de ouvir muito sobre|fusoes e aquisicoes	48
0x4edb9bc	29	shift_jis	among the big weapons makers.	entre os fabricantes de armas.	38
0x4edba04	63	latin-1	And after my company lost their bid|to produce the Air Force's	E depois que perdemos a licitacao|dos cacas da Forca Aerea,	81
0x4edba54	25	shift_jis	next line of fighter jet,	proxima linha de cacas,	23
0x4edba80	52	latin-1	the Metal Gear system was|our last ace in the hole.	o sistema Metal Gear era|nosso ultimo as na manga.	51
0x4edbac8	40	latin-1	That's why we pushed to have|Metal Gear	P/isso nos pressionamos p/ ter|o Metal Gear	41
0x4edbb04	29	shift_jis	developed as a black project.	desenvolvido como projeto negro.	32
0x4edbb34	14	shift_jis	Black project?	Projeto negro?	14
0x4edbb54	57	latin-1	Secret projects paid for by|the Pentagon's black budget.	Projetos secretos pagos pelo|orcamento negro do Pentagono.	56
0x4edbba0	57	latin-1	You can avoid a lot of red tape|and get a great leadtime	Vc pode evitar muita burocracia|e ter uma grande vantagem	61
0x4edbbec	27	shift_jis	on your weapons production.	na producao de armamentos.	27
0x4edbc18	28	shift_jis	And no one can bother you...	E ninguem pode te incomodar..	29
0x4edbc48	76	latin-1	Not even those bleeding heart liberals|on the military oversight committee.	Nem mesmo esses liberais de coracao mole|do comite de supervisao militar.	78
0x507690c	9	shift_jis	Bribes...	Subornos..	10
0x5076928	44	latin-1	I prefer to think of it as|good business...	Prefiro pensar nisso como|bons negocios..	43
0x5076968	55	latin-1	Anyway, Metal Gear was going to be|formally adopted...	De qualquer forma, Metal Gear ia ser|formalmente adotado	57
0x50769b0	53	latin-1	after the results of this exercise|were analyzed....	apos a analise dos resultados deste|exercicio...	63
0x50769f8	48	latin-1	I don't give a crap about you|and your company.	Nao dou a minima p/ vc|e sua empresa.	43
0x5076a3c	59	latin-1	Yes. That's about what I'd expect|from a grunt like you...	Sim. Eh o que eu esperaria|de um mero peao como vc..	69
0x5076aa0	34	latin-1	This is what you came for,|right?	Isso eh o que vc veio buscar,|ne?	35
0x5076ad4	12	shift_jis	What's that?	O que eh isso?	12
0x5076af4	31	shift_jis	An optical disk. It's all here.	Um disco optico. Esta tudo aqui.	33
0x5076b24	46	latin-1	The main hard drive was destroyed|by gunfire.	O disco rigido principal foi destruido|por tiros	48
0x5076b64	45	latin-1	This is the only remaining copy|of the data.	Esta eh a unica copia restante|dos dados.	41
0x5076ba4	18	shift_jis	What kind of data?	Que tipo de dados?	18
0x5076bc8	43	latin-1	All the data collected from|this exercise.	Todos os dados coletados|deste exercicio.	40
0x5076c04	16	shift_jis	Don't play dumb.	Nao se faca de bobo.	20
0x5076c28	33	shift_jis	I know you were sent to get this.	Sei que vc foi enviado p/ pegar isso	41
0x5076c5c	62	latin-1	I hid it from that sadistic maniac|while he was torturing me.	Escondi isso daquele maniaco sadico|enquanto me torturava.	58
0x5076cac	39	latin-1	They don't know that this disk|exists.	Eles nao sabem que este disco|existe.	37
0x5076ce4	54	latin-1	Make sure that you report this|to Jim...to your boss.	Certifique-se de relatar isso|ao Jim..ao seu chefe.	52
0x5076d2c	26	shift_jis	I'll give you my card too.	Vou te dar meu cartao tbm.	26
0x5076d58	42	latin-1	It'll open up all security level 2|doors.	Vai abrir as portas de seguranca|nivel 2.	48
0x5076d94	13	shift_jis	Can you walk?	Consegue andar?	14
0x5076dcc	24	shift_jis	...You go on without me.	..Va sem mim.	13
0x5076df8	62	latin-1	They got my password...they don't want|anything else from me.	Eles conseguiram minha senha..nao querem|mais nada de mim.	58
0x5076e48	25	shift_jis	I have one more question.	Tenho mais uma pergunta.	24
0x5076e74	33	shift_jis	Who or what was that ninja thing?	Quem ou oque era aquela coisa ninja?	37
0x5076ea8	34	shift_jis	It looked like you knew something.	Parecia que vc sabia algo.	29
0x5076edc	11	shift_jis	That ninja?	Aqule ninja?	13
0x5076ef8	43	latin-1	That was FOX-HOUND's|dark little secret...	Era o pequeno segredo sombrio|da FOX-HOUND..	52
0x5076f34	19	shift_jis	Dark little secret?	Segredo sombrio?	24
0x5076f58	39	latin-1	An experimental...genome...|soldier...	Um soldado..genomico..|experimental..	39
0x5076f90	13	shift_jis	You know him?	Vc o conhece?	16
0x5076fb0	48	latin-1	You should ask Dr. Naomi Hunter|from FOX-HOUND.	Deveria perguntar a Dra. Naomi Hunter|do FOX-HOUND.	52
0x5076ff4	26	shift_jis	She knows better than I...	Ela sabe melhor que eu..	24
0x5077020	6	shift_jis	Naomi?	Naomi?	6
0x5077038	26	shift_jis	You've got to stop them...	Vc tem que para-los..	24
0x5077064	54	latin-1	If it goes public, my company|and I are...finished...	Se vir a publico, minha empresa|e eu estamos..acabados..	56
0x50770c4	54	latin-1	Doesn't Metal Gear use|currently existing technology?	Metal Gear nao usa|tecnologia atualmente existente?	50
0x507710c	30	shift_jis	Metal Gear itself does, but...	O Metal Gear em si usa, mas..	28
0x555e9bc	5	shift_jis	Huh!?	Hein!?	6
0x555e9d4	30	shift_jis	What...what did you do to me!?	O que..o que vc fez comigo!?	32
0x555ea04	19	shift_jis	Uh...Oooh..No!..Ooh	Uh..Oooh..Nao!..Ooh	18
0x555ea28	22	shift_jis	Oh no, It can't be!...	Ah nao, nao pode ser!..	24
0x555ea50	27	shift_jis	...those Pentagon bastards!	..bastardos do Pentagono!	32
0x555ea7c	47	latin-1	...So they...they actually went|and did it...!	..Entao eles..eles realmente|fizeram isso..!	58
0x555eabc	27	shift_jis	What are you talking about!	Do que vc esta falando!	25
0x555eae8	39	latin-1	They...they're just...using you|for...	Eles..eles estao apenas..te usando|p/..	42
0x555eb20	9	shift_jis	uuuhhh...	uuuhhh..	9
0x555eb3c	10	shift_jis	Uuuuhhh...	Uuuuhhh..	10
0x555eb58	14	shift_jis	What the hell?	Que diabos?	11
0x57500e4	28	shift_jis	This is Raven's territory...	Este eh o territorio do Raven..	31
0x5750114	32	shift_jis	Snakes don't belong in Alaska...	Cobras nao pertencem ao Alasca..	33
0x5750148	26	shift_jis	I will not let you pass...	Nao vou deixar vc passar..	29
0x5750174	19	shift_jis	Send him a message!	Mande uma msg p/ele!	27
0x5750198	18	shift_jis	Ha ha ha ha ha ...	Ha ha ha ha ha ..	18
0x57501bc	42	latin-1	That's right...|You belong on the ground.	Isso mesmo..|vc pertence ao chao.	34
0x57501f8	55	latin-1	You should crawl on the ground|like the snake you are!	Deveria rastejar no chao|como a cobra que e!	47
0x5750240	18	shift_jis	Come, let's fight!	Venha, vamos lutar!	18
0x5a8b154	51	latin-1	Well, Boss, I hope you are happy.|He got the card.	Espero que esteja feliz Chefe|Ele conseguiu o cartao	62
0x5a8b198	42	latin-1	...We'll play with him a little|longer...	..Vamos brincar com ele um pouco|mais..	42
0x5a8b1d4	44	latin-1	You would be wise not to|underestimate him.	Seria sabio nao|subestima-lo.	30
0x5a8b214	26	shift_jis	What did you think of him?	O que achou dele?	17
0x5a8b240	23	shift_jis	He is just as you said.	Ele eh como vc disse.	33
0x5a8b268	45	latin-1	In battle, he is as if possessed|by a demon.	Na batalha, ele eh como se fosse|um demonio.	58
0x5a8b2a8	39	latin-1	Much like you.|I would expect no less.	Muito como vc.|Nao esperaria menos.	35
0x5a8b2e0	23	shift_jis	You see? I told you so.	Vc ve? Eu te disse.	21
0x5a8b308	20	shift_jis	But I will kill him.	Mas eu vou mata-lo.	18
0x5a8b330	17	shift_jis	So, General Ivan,	Entao, General Ivan,	18
0x5a8b354	50	latin-1	I hear he took your hand|as well as your dignity?	ouvi dizer que ele levou sua mao|e sua dignidade?	51
0x5a8b398	26	shift_jis	Watch your tongue, Shaman!	Cuidado com a lingua, Xama!	27
0x5a8b3c4	58	latin-1	"In the language of the Sioux people,|""Sioux"" means snake."	"Na linguagem do povo Sioux,|""Sioux"" significa cobra."	54
0x5a8b44c	26	shift_jis	Well, Snake is mine now...	Bem, Snake eh meu agora..	24
0x5a8b478	53	latin-1	When I meet him next,|I'll take special care of him.	Da proxima vez,|Cuidarei dele com cuidado.	58
0x5a8b4c0	8	shift_jis	Not yet.	Ainda nao.	10
0x5a8b4dc	21	shift_jis	Don't kill him yet...	Nao o mate ainda..	18
0x5a8b504	36	latin-1	He and I will meet again|in battle.	Nos encontraremos de novo|em batalha.	48
0x5a8b53c	26	shift_jis	Same prediction as always?	Mesma predicao de sempre?	25
0x5a8b568	28	shift_jis	Yes. The raven on my head...	Sim. O corvo na minha cabeca..	30
0x5a8b598	28	shift_jis	...It thirsts for his blood.	..Tem sede do sangue dele.	26
0x5f1e8a8	51	latin-1	It looks like they were cut by|some type of blade.	Parece que foram cortados por|algum tipo de lamina.	50
0x60c00e4	33	latin-1	Stealth camouflage?|Who are you?	Camuflagem stealth?|Quem e vc?	31
0x60c0118	19	shift_jis	Where is my friend?	Onde esta meu amigo?	20
0x60c013c	34	shift_jis	What...what are you talking about?	O que..do que vc esta falando?	33
0x60c0170	10	shift_jis	What next?	E agora?	8
0x60c018c	7	shift_jis	Snake!!	Snake!!	7
0x60c01a4	20	shift_jis	You're that Ninja...	Vc e aquele Ninja..	23
0x60c01cc	33	shift_jis	I've been waiting for you, Snake.	Estive esperando por vc, Snake.	33
0x60c0220	25	shift_jis	Neither enemy nor friend.	Nem inimigo nem amigo.	23
0x60c024c	59	latin-1	I am back from a world where|such words are meaningless...	Voltei de um mundo onde|tais palavras nao tem significado..	61
0x60c0298	27	shift_jis	I've removed all obstacles.	Removi todos os obstaculos.	27
0x60c02c4	40	latin-1	Now you and I will battle|to the death.	Agora vc e eu lutaremos|ate a morte.	42
0x60c0300	17	shift_jis	What do you want?	O que vc quer?	16
0x60c0324	38	latin-1	I've waited a long time|for this day.	Esperei muito tempo|por este dia.	33
0x60c035c	31	shift_jis	Now I want to enjoy the moment.	Agora quero aproveitar o momento	32
0x60c038c	30	shift_jis	What...what's with these guys?	O que..o que ha com esses caras?	33
0x60c03bc	42	latin-1	...It's like one of my Japanese|animes...	..Eh como um dos meus animes|japoneses..	41
0x60c03f8	52	latin-1	I've come from another world|to do battle with you.	Vim de outro mundo|p/ batalhar com vc.	41
0x60c0440	20	shift_jis	What is it? Revenge?	O que eh? Vinganca?	17
0x60c0468	36	shift_jis	It is nothing so trivial as revenge.	Nao eh nada tao trivial quanto vinganca.	39
0x60c04a0	30	shift_jis	A fight to the death with you.	Uma luta ate a morte com vc.	31
0x60c04d0	39	latin-1	Only in that can my soul find|respite.	So assim minha alma|encontrara descanso.	48
0x60c0508	18	shift_jis	I will kill you...	Vou te matar..	15
0x60c052c	22	shift_jis	or you will kill me...	ou vc vai me matar..	23
0x60c0554	26	shift_jis	...it makes no difference.	..nao faz diferenca.	20
0x60c0580	16	shift_jis	Waaaaaaaaahhh!!!	Waaaaaaaaahhh!!!	16
0x60c05a4	10	shift_jis	Hah! Fine!	Hah! Otimo!	11
0x60c05c0	31	shift_jis	He can watch from inside there.	Ele pode assistir de dentro dali.	33
0x60c05f0	42	latin-1	I need that man.|Keep your hands off him.	Preciso daquele homem.|Tire suas maos dele.	43
0x65ee0d0	21	shift_jis	I felt that, Snake...	Senti isso, Snake..	19
0x65ee0f8	23	shift_jis	Do you remember me now?	Vc lembra de mim agora?	28
0x65ee120	15	shift_jis	It can't be...!	Nao pode ser..!	16
0x65ee140	30	shift_jis	You were killed in Zanzibar...	Vc foi morto em Zanzibar..	28
0x65ee170	13	shift_jis	Eeeeyaaaaah!	Eeeeyaaaaah!	13
0x65ee190	18	shift_jis	What!? Not again!!	O que!? De novo nao!	22
0x65ee1b4	24	shift_jis	The...the mediciiiiiine!	O..o remediooooooo!	20
0x65ee1e0	17	shift_jis	What's happening?	Oq esta acontecendo?	23
0x65ee204	32	shift_jis	...I...I...I'm losing myself....	..Eu..eu..estou me perdendo...	35
0x65ee238	11	shift_jis	Is it over?	Acabou?	7
0x65ee254	19	shift_jis	Waaaaaaaaaahhhh!!!!	Waaaaaaaaaahhhh!!!!	19
0x69418d0	38	latin-1	How long are you gonna stay|in there?	Quanto tempo vc vai ficar|ai dentro?	39
0x6941908	27	shift_jis	Huh?...Are you one of them?	Hein?..Vc e um deles?	25
0x6941934	33	shift_jis	No, I'm not. I always work alone.	Nao,nao sou. Sempre trabalho sozinho	37
0x6941968	6	shift_jis	Alone?	Sozinho?	8
0x6941980	21	shift_jis	Are you an Otaku too?	Vc e um Otaku tbm?	21
0x69419a8	14	shift_jis	C'mon get out.	Vamos, saia.	12
0x69419c8	27	shift_jis	We can't stay here forever.	N podemos ficar aqui sempre	34
0x69419f4	38	latin-1	Your uniform's different than|theirs.	Seu uniforme eh diferente do|deles	33
0x6941a2c	59	latin-1	You're the Metal Gear chief engineer,|Hal Emmerich, right?	Vc e o engenheiro chefe do Metal Gear,|Hal Emmerich, certo?	65
0x6941a78	12	shift_jis	You know me?	Vc me conhece?	16
0x6941a98	29	shift_jis	I heard about you from Meryl.	Ouvi falar de vc pela Meryl.	31
0x6941ac8	32	shift_jis	Oh. So you're here to rescue me?	Ah. Entao vc tÃ¡ aqui p/ me resgatar?	40
0x6941afc	14	shift_jis	Sorry, but no.	Desculpe, nÃ£o.	18
0x6941b1c	45	latin-1	There's something that I've got|to do first.	Ha algo que eu tenho|que fazer primeiro.	40
0x6941b5c	46	latin-1	Oh. well...at least you're not|one of them...	Ah. bem..pelo menos vc nao e|um deles..	44
0x6941b9c	18	shift_jis	Huh? Are you hurt?	Vc esta machucado?	26
0x6941bc0	9	shift_jis	I'm okay.	Estou bem.	11
0x6941bdc	57	latin-1	I just twisted my ankle a little bit|trying to get away.	So torci meu tornozelo um pouquinho|tentando fugir.	50
0x6941c28	49	latin-1	Well if that's all,|it's nothing to worry about.	Bem, se eh so isso,|nao ha com que se preocupar.	50
0x6c218bc	28	shift_jis	I want to ask you something.	Quero te perguntar algo.	23
0x6c218ec	37	latin-1	I need information about|Metal Gear.	Preciso de informacao sobre|o Metal Gear	43
0x6c21924	16	shift_jis	Huh? Metal Gear?	Hein? Metal Gear?	16
