id	offset	encoding	tamanho_bytes	texto	texto_traduzido	diferenca_bytes
1268	0x4cfa0	shift_jis	5	2!ﾊ~		-5
1269	0x4cfa7	latin-1	41	But he's already started to#Ndecompose.	Mas ele ja comecou a#Nse decompor	-8
1270	0x4cfd4	shift_jis	5	$盃ｱv		-5
1271	0x4cfda	shift_jis	28	What could it all be about?	Oq isso poderia significar?	-1
1272	0x4d00b	latin-1	43	Something in his blood that they#Nwanted?	Algo no sangue dele q eles#Nqueriam?	-7
1273	0x4d03a	latin-1	5	Bu!ó		-5
1274	0x4d041	latin-1	57	I doubt it. Just the nanomachines and#Nthe transmitter.	Duvido. Apenas as nanomaquinas e#No transmissor	-10
1275	0x4d098	latin-1	48	Did the Chief tell them his detonation#Ncode?	O Chefe contou a eles o codigo#Nde detonacao?	-3
1276	0x4d0cc	shift_jis	5	b!ﾊ~		-5
1277	0x4d0d3	latin-1	89	I'm afraid so. It looks like they've got#Nboth codes and are nearly ready to#Nlaunch.	Receio sim. Parece conseguiram#Nambos codigos quase prontos#Nlancar	-22
1278	0x4d137	shift_jis	37	Damn. Is there any way to prevent it?	Droga. Ha uma forma prevenir isso?	-3
1279	0x4d160	shift_jis	5	r!ﾊ~		-5
1280	0x4d167	latin-1	105	It seems there's some type of#Nemergency override device that#Ncan cancel out the detonation#Ncode.	Parece ha tipo#Ndispositivo anulacao emergencia q#Npode cancelar codigo#Ndetonacao	-23
1281	0x4d1d4	shift_jis	5	C!ﾊ~		-5
1282	0x4d1db	latin-1	58	It's a countermeasure that ArmsTech#Ninstalled secretly.	Eh uma contramedida q a ArmsTech#Ninstalou secretamente	-3
1283	0x4d219	shift_jis	5	?!ﾊ~		-5
1284	0x4d220	latin-1	54	You have to unlock it with three#Nspecial card keys.	Tem q desbloquea-lo com 3#Nchaves de cartao especiais	-1
1285	0x4d261	shift_jis	25	And where are those keys?	E onde estao as chaves?	-2
1286	0x4d27e	shift_jis	5	G!ﾊ~		-5
1287	0x4d285	latin-1	62	I've got one of them. I don't know#Nwhere the other two are.	Tenho uma delas. Nao sei#Nonde estao as outras duas	-11
1288	0x4d2c7	shift_jis	5	%!ﾊ~		-5
1289	0x4d2ce	shift_jis	28	Besides, I'm locked up here.	Alem disso, estou preso aqui	0
1290	0x4d2f5	latin-1	47	We've got no choice. #NForget about the keys.	Nao temos escolha#NEsqueca as chaves	-11
1291	0x4d32f	latin-1	57	Your top priority now is to destroy#NMetal Gear itself.	Sua prioridade maxima agora eh destruir#No Metal Gear	-4
1292	0x4d373	latin-1	72	I'm sorry to have to lay it all in your lap,#Nbut you're all I've got.	Sinto muito ter q jogar tudo no seu colo#Nmas vc eh tudo q tenho	-8
1293	0x4d3c6	latin-1	57	Bust out of there and get to#Nthe Communications Tower.	Saia dai e chegue a#NTorre de Comunicacoes	-15
1294	0x4d439	shift_jis	7	Also...	tbm..	-2
1295	0x4d455	shift_jis	5	What?	Oq?	-2
1296	0x4d45e	shift_jis	5	$e茜'		-5
1297	0x4d464	shift_jis	28	I know it's asking a lot...	Sei q eh pedir muito..	-6
1298	0x4d48b	shift_jis	13	Meryl, right?	Meryl, certo?	0
1299	0x4d4a3	shift_jis	7	Yeah...	Sim..	-2
1300	0x4d4b5	shift_jis	14	I'll save her.	Vou salva-la	-2
1301	0x4d4ce	shift_jis	7	Thanks.	Obg	-4
1302	0x4d4f0	latin-1	8	-0å1		-8
1303	0x4d573	latin-1	13	rÉ?0		-13
1304	0x4d58a	shift_jis	5	"""!ﾊ跋"		-5
1305	0x4d591	shift_jis	25	Naomi, please talk to me.	Naomi, por favor fale cmg	0
1306	0x4d5b8	shift_jis	5	7!ﾊ跋		-5
1307	0x4d5bf	latin-1	46	Say something to take my mind off#Nthe pain.	Diga algo p/ tirar minha mente#Nda dor	-8
1308	0x4d5f8	shift_jis	15	What can I say?	O posso dizer?	-1
1309	0x4d612	shift_jis	9	Anything.	Algo..	-3
1310	0x4d625	shift_jis	5	"""!ﾊ~"		-5
1311	0x4d6bc	shift_jis	5	*盃ｱv		-5
1312	0x4d6c3	shift_jis	33	I...I'm not a very good talker...	Eu nao sou muito boa conversando	-1
1313	0x4d6ee	shift_jis	10	Please...	Por favor	-1
1314	0x4d6fc	shift_jis	5	#!ﾊ~		-5
1315	0x4d703	shift_jis	26	...tell me about yourself.	..me conte sobre vc	-7
1316	0x4d731	shift_jis	8	Myself?	Eu?	-5
1317	0x4d743	shift_jis	23	...That's a tough one.	..Essa eh dificil	-6
1318	0x4d765	shift_jis	11	Any family?	Familia?	-3
1319	0x4d784	shift_jis	36	...That's not a happy topic for me.	..Nao eh um topico legal pra mim	-4
1320	0x4d7bd	shift_jis	26	I don't have any family...	Nao tenho familia..	-7
1321	0x4d7db	shift_jis	5	A!ﾊ~		-5
1322	0x4d7e2	latin-1	56	No wait, there was a man who said he#Nwas my father...	Nao espere, havia um homem q disse#Nque era meu pai..	-3
1323	0x4d825	shift_jis	12	Where is he?	Cade ele?	-3
1324	0x4d83c	shift_jis	5	Dead.	Morto	0
1325	0x4d860	shift_jis	18	...by my own hand.	pelas minhas maos	-1
1326	0x4d890	shift_jis	10	Big Boss.	Big Boss	-2
1327	0x4d8b2	shift_jis	5	-盃ｱv		-5
1328	0x4d8b8	latin-1	37	What!? Big Boss!!?#NI had no idea.	Oq!? Big Boss!!?#NNao fazia ideia	-4
1329	0x4d8fb	shift_jis	28	There was no way you could.	Nao havia como vc saber	-5
1330	0x4d922	shift_jis	36	It happened in Zanzibar 6 years ago.	Aconteceu em Zanzibar ha 6 anos	-5
1331	0x4d951	latin-1	63	Only Snake and I know the real truth#Nof what happened there.	Apenas Snake e eu sabemos a verdade real#Ndo q aconteceu la	-4
1332	0x4d9ae	shift_jis	17	So...is it true?	Entao e verdade?	-1
1333	0x4d9c3	shift_jis	5	)盃ｱv		-5
1334	0x4d9ca	shift_jis	32	Was Big Boss really your father?	Big Boss era realmente seu pai?	-1
1335	0x4d9f5	shift_jis	22	That's what he said...	Foi o q ele disse..	-3
1336	0x4da16	shift_jis	18	That's all I know.	Eh tudo q sei	-5
1337	0x4da2c	latin-1	5	8u!ó		-5
1338	0x4da32	latin-1	48	And you were able to kill him,#Nknowing that?	E conseguiu mata-lo#Nsabendo disso?	-13
1339	0x4da6d	shift_jis	4	Yup.	Sim	-1
1340	0x4da95	shift_jis	13	He wanted it.	Ele queria	-3
1341	0x4dab7	latin-1	44	Besides, some people just need#Nkilling...	Alem disso tem gente q so#Nmerece morrer	-4
1342	0x4db01	shift_jis	21	That's patricide...!	Isso eh patricidio!	-2
1343	0x4db33	shift_jis	5	<!ﾊ跋		-5
1344	0x4db39	latin-1	52	That's the trauma that Mantis was#Ntalking about.	Esse eh o trauma sobre qual Mantis tava#Nfalando	-4
1345	0x4db71	shift_jis	5	'!ﾊ跋		-5
1346	0x4db78	latin-1	30	The one we share in#Ncommon.	Aquele q compartilhamos#N	-5
1347	0x4db9a	shift_jis	5	(盃ｱv		-5
1348	0x4dba0	shift_jis	32	Is that why you left FOX-HOUND?	Foi por isso deixou FOX-HOUND?	-2
1349	0x4dbc4	shift_jis	5	g!ﾊ~		-5
1350	0x4dbca	latin-1	95	Let's just say that I needed to be#Nalone for a while and Alaska was#Nthe perfect place...	Digamos apenas q eu precisava ficar#Nsozinho por um tempo e o Alasca era#No lugar perfeito	-5
1351	0x4dc34	shift_jis	9	...Snake.	..Snake	-2
1352	0x4dc5d	shift_jis	39	...I didn't have a real family either.	..Eu tbm n tive uma familia de verdade	-1
1353	0x4dc88	latin-1	5	9u!ó		-5
1354	0x4dc8f	latin-1	48	Just a big brother who put me through#Nschool.	Apenas um irmao q me sustentou#Nna escola	-7
1355	0x4dcca	latin-1	63	We weren't even blood-related and#Nhe was much older than me.	Nem eramos parentes de sangue e#Nele era muito mais velho q eu	-1
1356	0x4dd34	shift_jis	16	...He's dead...	..Ele ta morto	-2
1357	0x4dd7c	latin-1	5	*u!ó		-5
1358	0x4dd82	shift_jis	34	...is there a woman in your life?	..ha uma mulher na sua vida?	-6
1359	0x4dda8	shift_jis	5	T!ﾊ~		-5
1360	0x4ddaf	latin-1	75	After you've been through as many#Nwars as me, it's hard to trust anyone.	Depois de passar por tantas#Nguerras, eh dificil confiar em alguem	-9
1361	0x4de05	shift_jis	8	Friends?	Amigos?	-1
1362	0x4de18	shift_jis	18	...Roy Campbell...	..Roy Campbell..	-2
1363	0x4de52	shift_jis	37	Huh? You're still calling me friend?	Ha? Ainda me chama de amigo?	-9
1364	0x4de95	shift_jis	12	Is that it?	Eh so isso?	-1
1365	0x4deac	shift_jis	24	No, there was another...	Nao, havia outro..	-6
1366	0x4decf	shift_jis	13	Frank Jaeger.	Frank Jaeger	-1
1367	0x4df15	shift_jis	35	Big Boss's most trusted lieutenant	Tenente mais confiavel do B. Boss	-2
1368	0x4df43	latin-1	73	"and the only member of FOX-HOUND#Never to receive the codename ""Fox."""	"e o unico membro da FOX-HOUND#Na receber o codinome ""Fox."""	-15
1369	0x4df97	shift_jis	12	...Gray Fox.	..Gray Fox	-2
1370	0x4dfed	shift_jis	27	I learned a lot from him...	Aprendi muito com ele..	-4
1371	0x4e013	shift_jis	6	But...	Mas..	-1
1372	0x4e023	shift_jis	38	...didn't you try to kill each other?	..vcs nao tentaram se matar?	-10
1373	0x4e04d	shift_jis	5	(!ﾊ~		-5
1374	0x4e054	shift_jis	31	It's true. We did. In Zanzibar.	Eh verdade. Tentamos. Zanzibar	-1
1375	0x4e07e	shift_jis	28	But it was nothing personal.	Mas nao foi nada pessoal	-4
1376	0x4e09e	shift_jis	5	H!ﾊ~		-5
1377	0x4e0a5	latin-1	63	...we were just professionals on#Nopposite sides, that's all.	..eramos apenas profissionais em#Nlados opostos, so isso	-7
1378	0x4e0ef	latin-1	41	"And you still call yourself ""friends""!?"	"E ainda se chamam de ""amigos""!?"	-10
1379	0x4e123	shift_jis	16	Hard to believe?	Dificil crer?	-3
1380	0x4e13e	shift_jis	37	War is no reason to end a friendship.	Guerra nao justifica#Nacabar amizade	-1
1381	0x4e16e	shift_jis	14	That's insane.	Isso eh insano	0
1382	0x4e187	shift_jis	35	I first met him on the battlefield.	O conheci primeiro campo batalha	-3
1383	0x4e1b5	latin-1	48	He was being held a prisoner of Outer#NHeaven.	Ele era mantido prisioneiro em Outer#NHeaven	-4
1384	0x4e1f0	latin-1	44	But he didn't look like a prisoner to#Nme.	Mas nao parecia um prisioneiro#Npara mim	-4
1385	0x4e22a	shift_jis	5	_!ﾊ~		-5
1386	0x4e231	latin-1	86	He was always so cool and precise.#NI was still green and he showed me#Nthe ropes.	Ele era sempre tao calmo preciso#NEu ainda era inexperiente ele me deu#Ndicas	-9
1387	0x4e292	shift_jis	18	You knew him well?	Vc o conhecia bem?	0
1388	0x4e2af	latin-1	48	No. We never talked about our#Npersonal lives.	Nao. Nunca falamos sobre nossas#Nvidas pessoais	-1
1389	0x4e2ea	shift_jis	28	Sort of an unwritten rule...	Tipo uma regra nao escrita..	0
1390	0x4e311	latin-1	63	The next time I saw him on the#Nbattlefield, we were enemies.	A proxima vez q o vi no#Ncampo de batalha, eramos inimigos	-5
1391	0x4e35b	latin-1	46	We were fighting barehanded in#Na minefield.	Estavamos lutando#Nnum campo minado	-11
1392	0x4e394	latin-1	43	I know it sounds strange to most#Npeople.	Sei q soa estranho maioria#Ndas pessoas	-4
1393	0x4e3ca	latin-1	48	But we were just two soldiers doing#Nour jobs.	Mas eramos 2 soldados#Nfazendo nosso trabalho	-3
1394	0x4e40f	shift_jis	18	It's like a sport.	Eh como um esporte	0
1395	0x4e42c	shift_jis	20	Men and their games!	Homens e seus jogos!	0
1396	0x4e44b	shift_jis	25	You're like wild animals!	Vcs sao animais selvagens	0
1397	0x4e46f	shift_jis	29	You're right. We are animals.	Vc ta certa. Somos animais	-3
1398	0x4e497	latin-1	72	So if you were friends, then how do#Nyou explain the Ninja's behavior?	Entao se eram amigos, como explica#No comportamento do Ninja?	-11
1399	0x4e4ea	shift_jis	13	I don't know.	Nao sei	-6
1400	0x4e502	latin-1	64	It's your genes...they make you#Npredisposed towards violence!	Sao seus genes..eles te fazem#Npredisposto a violencia!	-9
1401	0x4e54d	latin-1	46	You really like talking about genes,#NNaomi.	Vc realmente gosta de falar sobre gene#NNaomi	-1
1402	0x4e586	latin-1	48	Why did you get into genetic research#Nanyway?	Pq entrou na pesquisa genetica#Nafinal?	-9
1403	0x4e5d0	shift_jis	5	N盃ｱv		-5
1404	0x4e5d6	latin-1	70	...I never knew who my parents were#Nor even what they looked like.	..Nunca soube quem eram meus pais#Nnem mesmo como eles pareciam	-7
1405	0x4e620	shift_jis	5	_盃ｱv		-5
1406	0x4e627	latin-1	86	I guess I got into genetics because#NI wanted to figure out why I'm the way#NI am.	Acho q entrei na genetica pq#Nqueria descobrir pq sou do jeito#Nque sou	-15
1407	0x4e688	shift_jis	25	So you studied about DNA?	Entao estudou sobre DNA?	-1
1408	0x4e6a5	shift_jis	5	]盃ｱv		-5
1409	0x4e6ac	latin-1	84	Yeah. I thought if I studied my genetic#Nstructure, I'd find out who I really was.	Sim. Pensei q se estudasse estrutura#Ngenetica, descobriria quem eu realmente era	-3
1410	0x4e704	shift_jis	5	G盃ｱv		-5
1411	0x4e70b	latin-1	62	I thought that by analyzing a person's#Ngenetic information,	Pensei q analisando a informacao#Ngenetica de uma pessoa,	-5
1412	0x4e74d	shift_jis	5	E盃ｱv		-5
1413	0x4e754	latin-1	60	I could retrieve the blank spots in that#Nperson's memory.	poderia recuperar pontos branco#Nna memoria daquela pessoa	-2
1414	0x4e79b	shift_jis	24	Memory is stored in DNA?	Memoria fica no DNA?	-4
1415	0x4e7bd	shift_jis	16	We're not sure.	N temos certeza	-1
1416	0x4e7d1	shift_jis	5	}盃ｱv		-5
1417	0x4e7d8	latin-1	116	But we know that a person's#Ngenetic fate is determined just#Nby the sequence of the four bases#Nin their DNA.	Mas sabemos q o destino genetico#Nde uma pessoa eh determinado apenas#Npela sequencia das 4 bases#Nno seu DNA	-7
1418	0x4e861	shift_jis	22	So what about my fate?	E o meu destino?	-6
1419	0x4e87b	shift_jis	5	0!ﾊ~		-5
1420	0x4e882	latin-1	39	You know my DNA sequence, don't#Nyou?	Vc conhece minha sequencia#NDNA, nao?	-2
1421	0x4e8c7	shift_jis	11	Your fate?	Destino?	-3
1422	0x4e8dc	shift_jis	5	I...	Eu..	-1
1423	0x4e8eb	shift_jis	30	...I'm sorry. I have no idea.	..Desculpe. Nao faco ideia	-4
1424	0x4e914	shift_jis	14	Of course not.	Claro q nao	-3
1425	0x4e92d	shift_jis	41	You're a scientist, not a fortune-teller.	Vc eh uma cientista, nao cartomante	-6
1426	0x4e9cf	shift_jis	16	You okay, Snake?	Td bem, Snake?	-2
1427	0x4ea09	shift_jis	29	Yeah...nothing new to report.	Sim..nada novo p/ reportar	-3
1428	0x4ea3e	latin-1	5	+u!ó		-5
1429	0x4ea44	shift_jis	35	Snake, is there anything I can do?	Snake, ha algo q eu possa fazer?	-3
1430	0x4ea7e	shift_jis	21	Yeah, my arm hurts...	Sim, meu braco doi..	-1
1431	0x4ea9d	shift_jis	15	...Poor Snake.	..Pobre Snake	-2
1432	0x4eab0	shift_jis	5	B盃ｱv		-5
1433	0x4eab7	latin-1	57	I'll increase the level of pain killers in#Nyour blood.	Vou aumentar o nivel de analgesicos#Nno seu sangue	-7
1434	0x4eafb	latin-1	46	Okay, but you can leave out#Nthe benzedrine.	Ok, mas pode deixar de fora#Na benzedrina	-5
1435	0x4eb34	shift_jis	31	That stuff makes me too frisky.	Essa coisa me deixa agitado	-4
1436	0x4eb5d	latin-1	49	I guess you're not feeling too bad#Nafter all.	Acho q nao ta se sentindo tao mal#Nafinal	-8
1437	0x4ebc6	latin-1	50	Snake, put the controller up against#Nyour arm.	Snake, coloque o controle contra#Nseu braco	-7
1438	0x4ec13	shift_jis	29	Don't worry. It'll feel good.	Nao se preocupe. Vai ser bom	-1
1439	0x4ec3b	shift_jis	4	Huh?	Ha?	-1
1440	0x4ec4a	shift_jis	16	Okay, here I go.	Ok, la vou eu	-3
1441	0x4ec68	shift_jis	5	!ﾊ6ｴ		-5
1442	0x4ec81	shift_jis	7	Ooooh.	Ooooh	-2
1443	0x4ec9c	shift_jis	27	How does that feel, Snake?	Como se sente, Snake?	-6
1444	0x4ecc2	shift_jis	16	A little better?	Um pouco melhor?	0
1445	0x4ecfc	latin-1	64	I stimulated your muscle fibers with#Nthe nanomachine's cilia.	Estimulei suas fibras musculares com#Ncilios das nanomaquinas	-3
1446	0x4ed46	shift_jis	37	That's about all I can do for you...	Isso eh tudo q posso fazer por vc	-4
1447	0x4eda2	shift_jis	5	;!ﾊ~		-5
1448	0x4eda9	latin-1	50	I'm not the right guy. #NI can't save the world.	Nao sou o cara certo#NNao posso salvar o mundo	-4
1449	0x4edf9	shift_jis	14	What's wrong?	Oq foi?	-7
1450	0x4ee12	shift_jis	24	I gave in to the pain...	Eu cedi a dor..	-9
1451	0x4ee52	shift_jis	20	I'm sorry, Colonel.	Desculpe, Cel..	-5
1452	0x4ee88	shift_jis	5	-!ﾊ跋		-5
1453	0x4ee8f	shift_jis	36	I sacrificed Meryl to save myself...	Sacrifiquei a Meryl p/ me salvar..	-2
1454	0x4eed1	shift_jis	19	...Snake..........	..Snake......	-6
1455	0x4eef8	shift_jis	39	She was a soldier. She knew the risks.	Ela era uma soldado Conhecia os riscos	-1
1456	0x4ef2a	latin-1	88	Battlefield casualties are always#Ntragic, but they're an unavoidable #Npart of war.	Baixas no campo de batalha sao#Ntragicas, mas sao uma parte inevitavel #Nda guerra	-6
1457	0x4efa0	shift_jis	22	Don't blame yourself.	Nao se culpe	-10
1458	0x4efc1	shift_jis	31	You still have a mission to do.	Vc ainda tem q cumprir a missao	0
1459	0x5050b	shift_jis	28	That was a close one, Snake.	Essa foi por pouco, Snake	-3
1460	0x5052b	shift_jis	5	"(!ﾊ""r"		-5
1461	0x50531	shift_jis	32	Ocelot...you'll pay for that...	Ocelot..vai pagar por isso..	-4
1462	0x50581	latin-1	77	That Deepthroat's a real enigma. #NHe's definitely from inside their ranks.	Deepthroat eh misterio#NCom certeza ta infiltrado entre eles	-17
1463	0x505d9	shift_jis	18	Is he an informer?	Ele eh um delator?	0
1464	0x505f6	shift_jis	28	Maybe some kind of renegade?	Talvez um tipo de renegado?	-1
1465	0x5061d	latin-1	62	I've got the feeling there's some other#Nforce at work here.	Tenho a sensacao de q ha alguma outra#Nforca em acao aqui	-5
1466	0x50694	shift_jis	21	Snake, about Meryl...	Snake, sobre a Meryl	-1
1467	0x506b4	shift_jis	21	Colonel, I'm sorry...	Cel., desculpe..	-5
1468	0x506d4	shift_jis	13	Listen to me.	Me escute	-4
1469	0x506e5	shift_jis	5	&!ﾊ｢ﾊ		-5
1470	0x506eb	shift_jis	30	I wasn't able to protect her.	Nao consegui protege-la	-7
1471	0x5070d	shift_jis	5	!ﾊﾚi		-5
1472	0x50717	shift_jis	5	!ﾊｼ{		-5
1473	0x50756	shift_jis	18	Snake, it's okay.	Snake, tudo bem	-3
1474	0x50773	shift_jis	40	You did what you could, now let it rest.	Fez o q pode, agora deixe descansar	-5
1475	0x507a5	shift_jis	11	Colonel...	Cel..	-6
1476	0x507d9	shift_jis	24	Snake...she's a soldier.	Snake ela eh uma soldado	0
1477	0x507fc	latin-1	47	She knows that prisoners are #Na part of war.	Ela sabe prisioneiros fazem #Nparte da guerra	-2
1478	0x50843	shift_jis	36	She joined up of her own free will.	Ela se alistou por vontade propria	-2
1479	0x50872	shift_jis	35	I'm sure she was prepared for this.	Certamente ela tava pronta pra isso	0
1480	0x5089f	shift_jis	20	No. You're wrong...	Nao. vc ta errado	-3
1481	0x508c7	shift_jis	7	.....?	....?	-2
1482	0x508d9	latin-1	78	Meryl thought she had to become#Na soldier...thought it was the only#Nway.	Meryl achava q precisava ser#Nsoldado... achava q era a unica#Nforma	-10
1483	0x50932	latin-1	69	She said she thought it would bring#Nher closer to her dead father.	Disse q pensou q isso a aproximaria#Ndo seu pai morto	-16
1484	0x5098b	shift_jis	16	She said that!?	Ela disse isso?	-1
1485	0x509a6	shift_jis	33	She wasn't ready for real combat.	Ela n estava pronta combate real	-1
1486	0x509d2	latin-1	61	I shouldn't have pushed her so hard.#N...It's all my fault.	Nao deveria te-la pressionado tanto#N..Eh tudo culpa minha	-3
1487	0x50a27	shift_jis	5	"$l""愨"		-5
1488	0x50a2d	shift_jis	28	That's not like you, Snake.	Isso n eh tipico seu, Snake	-1
1489	0x50a7b	shift_jis	20	Master? What is it?	Mestre? O q eh?	-5
1490	0x50aa7	shift_jis	5	"Il""愨"		-5
1491	0x50aad	latin-1	65	Sorry for eavesdropping, #Nbut I just couldn't listen anymore.	Desculpe por escutar escondido#Nmas nao conseguia mais ouvir	-5
1492	0x50af9	shift_jis	9	Master...	Mestre..	-1
1493	0x50b06	shift_jis	5	"Kl""愨"		-5
1494	0x50b0d	latin-1	66	Snake, you can have regrets if you#Nwant to...it's only natural.	Snake, pode ter arrependimentos se#Nquiser..eh natural	-12
1495	0x50b53	shift_jis	5	"Wl""愨"		-5
1496	0x50b5a	latin-1	78	But you can't keep attacking yourself#Nfor things that happened in the past.	Mas nao pode continuar se atacando#Npor coisas q aconteceram no passado	-7
1497	0x50bac	shift_jis	5	"4l""愨"		-5
1498	0x50bb3	latin-1	43	That road leads to madness, #Nbelieve me.	Esse caminho leva loucura#Nacredite mim	-4
1499	0x50bfc	shift_jis	33	He's right. Don't kick yourself.	Ele ta certo. Nao se martirize	-3
1500	0x50c28	shift_jis	34	It doesn't suit a legend like you.	Isso nao combina lenda vc	-9
1501	0x50c70	latin-1	57	And besides that, for all we know#NMeryl's okay, right?	E alem disso, pelo q sabemos#Na Meryl ta bem, certo?	-5
1502	0x50cc6	shift_jis	27	I'm sure Meryl's just fine.	Com certeza a Meryl ta bem	-1
1503	0x50cfa	shift_jis	11	Mei Ling...	Mei Ling..	-1
1504	0x50d23	latin-1	43	Snake, forget about Meryl.#NStop Liquid.	Snake, esqueca a Meryl#NPare o Liquid	-6
1505	0x50d59	shift_jis	34	That's what Meryl would want, too.	Eh isso q a Meryl quereria tbm	-4
1506	0x50d9e	shift_jis	31	Meryl would say the same thing.	A Meryl diria a mesma coisa	-4
1507	0x50def	shift_jis	10	...Snake?	..Snake?	-2
1508	0x50e0d	shift_jis	5	5盃ｱv		-5
1509	0x50e13	latin-1	45	Meryl...she's pretty special to you,#Nhuh?	Meryl..ela eh bem especial p/ vc#Nnao eh?	-4
1510	0x50e4b	shift_jis	19	Yes, she's special.	Sim ela eh especial	0
1511	0x50e69	latin-1	43	There aren't many women like her#Naround.	Nao ha muitas mulheres como ela#Npor ai	-4
1512	0x50e98	shift_jis	5	&盃ｱv		-5
1513	0x50e9f	shift_jis	29	...That's not what I meant...	Nao foi isso q eu quis dizer	-1
1514	0x50ec7	latin-1	52	She's the Colonel's niece.#N...and a combat buddy.	Ela eh sobrinha Cel.#N..e companheira combate	-7
1515	0x50f0f	shift_jis	22	Is that all? C'mon...	Eh so isso? Qual eh..	-1
1516	0x50f33	latin-1	5	0!Ê÷;		-5
1517	0x50f3a	shift_jis	39	...This is like a police interrogation.	Isso parece um interrogatorio policial	-1
1518	0x50f6b	shift_jis	15	No...I just...	Nao..eu so..	-3
1519	0x50f98	shift_jis	29	I guess it's in the genes...	Acho q ta nos genes..	-8
1520	0x50fc0	shift_jis	10	The genes?	Os genes?	-1
1521	0x50fd5	shift_jis	36	What are you talking about, Colonel?	Do q ta falando, Cel.?	-14
1522	0x51003	latin-1	52	No, I just remembered about Naomi's#Ngrandfather.	Nao, apenas lembrei do avo#Nda Naomi	-16
1523	0x51042	latin-1	102	I think Naomi said he rose as high as#Nassistant secretary in the FBI during#NEdgar Hoover's time.	Acho q a Naomi disse q ele chegou a#Nsecretario assistente no FBI durante#Na epoca do Edgar Hoover	-4
1524	0x510b2	shift_jis	15	Is that right?	Eh mesmo?	-6
1525	0x510e3	latin-1	5	ku!ó		-5
1526	0x510e9	latin-1	99	Yes...yes, he was Japanese and#Nhe became a special undercover#Ninvestigator to nab the mafia.	Sim..sim, ele era japones e#Nse tornou um investigador especial#Nencoberto p/ pegar a mafia	-8
1527	0x5116a	shift_jis	15	When was that?	Quando isso?	-3
1528	0x51197	shift_jis	36	Oh...sometime in the 50's, I guess.	Algum tempo atras nos anos 50, acho	-1
1529	0x511d9	shift_jis	7	Where?	Onde?	-2
1530	0x511fe	shift_jis	24	...New York, I think...	..Nova York, acho..	-5
1531	0x51238	shift_jis	5	"@l""愨"		-5
1532	0x5123e	latin-1	56	Naomi...I thought that you didn't have#Nany family...	Naomi..pensei q vc nao tinha#Nfamilia..	-17
1533	0x5128e	shift_jis	5	?盃ｱv		-5
1534	0x51294	latin-1	55	Well...I...I researched it after I became#Nan adult.	Bem..eu..pesquisei isso depois q me tornei#Nadulta	-5
1535	0x512cf	shift_jis	5	L盃ｱv		-5
1536	0x512d5	latin-1	68	My grandfather was already dead by#Nthe time I learned about him.	Meu avo ja estava morto quando#Nsoube sobre ele	-21
1537	0x51323	latin-1	46	I never even had the chance to meet#Nhim...	Nunca tive nem a chance de#Nconhece-lo..	-6
1538	0x51393	shift_jis	21	...Snake, good luck.	..Snake, boa sorte	-3
1539	0x513c6	shift_jis	24	Watch your back, Snake.	Cuide das costas, Snake	-1
1540	0x513f9	shift_jis	5	=,ｭ]		-5
1541	0x51463	shift_jis	9	7 OTACON		-9
1542	0x5148d	shift_jis	5	'=,ｭ]		-5
1543	0x51494	shift_jis	30	Snake, the elevator's working.	Snake, elevador funcionando	-3
1544	0x514bd	shift_jis	13	You fixed it?	Vc consertou?	0
1545	0x514ce	shift_jis	5	$=,ｭ]		-5
1546	0x514d5	shift_jis	27	No, that's the weird thing.	Nao, isso q eh estranho	-4
1547	0x514f4	shift_jis	5	?=,ｭ]		-5
1548	0x514fb	latin-1	54	It just moved by itself. #NIt's headed your way now.	Ele se moveu sozinho#NEsta indo na sua direcao agora	-2
1549	0x5153c	shift_jis	17	Is that so? Okay.	Eh mesmo? Ok	-5
1550	0x51551	shift_jis	5	-=,ｭ]		-5
1551	0x51558	shift_jis	36	That explosion before...what was it?	Aquela explosao de antes..o q foi?	-2
1552	0x51587	shift_jis	38	Oh, I had to take out that helicopter.	Ah, tive derrubar aquele helicoptero	-2
1553	0x515b1	shift_jis	5	1=,(J		-5
1554	0x515b7	latin-1	41	Helicopter?#NThat's incredible, Snake!	Helicoptero?#NIsso eh incrivel, Snake!	-3
1555	0x515eb	shift_jis	39	Listen. I just want to make sure again.	Escute. So quero ter certeza de novo	-3
1556	0x51627	latin-1	62	This is the way to get to where Metal#NGear is being stored?	Este caminho chegar onde o Metal#NGear ta armazenado?	-9
1557	0x51669	shift_jis	5	t=,ｭ]		-5
1558	0x51670	latin-1	107	Yeah. The entrance to the#Nunderground maintenance base is#Ntowards the back of the snowfield#Nahead.	Sim. A entrada p/ a base#Nsubterranea de manutencao fica#Nno fundo do campo de neve#Na frente	-14
1559	0x516e6	latin-1	54	Okay.#NFind a safe place to hide out for#Na while.	Ok#NEncontre lugar seguro p/ esconder#Npor um tempo	-3
1560	0x51727	shift_jis	22	I'm going underground.	Vou p/ o subsolo	-6
1561	0x51741	shift_jis	5	6=,ｭ]		-5
1562	0x51748	latin-1	45	I know, I know.#NYou don't have to tell me.	Eu sei, eu sei#NNao precisa me dizer	-9
1563	0x51780	latin-1	62	And stay outta my way. #NDon't try to be a hero or anything.	E fique fora do meu caminho#NNao tente ser heroi nem nada	-5
1564	0x517c2	shift_jis	5	&=,ｭ]		-5
1565	0x517c9	shift_jis	29	Okay, call me if you need to.	Ok, me chame se precisar	-5
